"","GSM452235","GSM452236","GSM452237","GSM452238","GSM452239","GSM452240","GSM452241","GSM452242","GSM452243","GSM452244","GSM452245","GSM452246","GSM452247","GSM452248","GSM452249","GSM452250","GSM452251","GSM452252","GSM452253","GSM452254","GSM452255","GSM452256","GSM452257","GSM452258","GSM452259","GSM452260"
"ZFP36L1",-1.01628010819277,0.904314043102827,0.393866697926389,-0.128005687401097,-0.406172985925835,0.0517391309577951,-1.18873210889193,-0.24369045530608,-0.298682815596439,-0.599874812940865,-1.47543451110156,-0.606585153116916,-0.696326598408168,-0.453756531969772,-0.568805189560669,-0.648106942050145,-0.725450472592334,-0.729267134476854,1.00368445236418,0.301281465348632,0.362747183541167,1.85045953517489,3.14649064549715,0.199191996313344,0.892277838140206,0.679118519164877
"CD44",-0.909611546229192,-0.352327571789974,-1.17901950857509,-1.11949176807245,-0.228584589608334,0.950116364086354,-1.2535730987132,-0.378760849100207,-0.755969590378865,-0.805593662982611,-0.310257542435331,0.189401887467578,-0.724496368194814,-0.459999121366992,-0.998650572333308,0.159126973854924,-0.499014638676897,-0.404477490892252,-0.0728397196964371,2.19828397055234,0.979615901564575,1.12551584419382,0.177242579904871,1.10594347086099,2.29797854444329,1.26944210211723
"TXLNA",1.22885944898085,1.32017306893493,0.540393011611547,0.277345353159493,0.97438943156528,0.248672675140837,1.48727598668551,0.781694537858441,0.392579718539247,-0.134280740053561,0.173890142724201,-1.12470229074532,1.13229051374386,0.0968323205490629,1.44944174371005,0.421916861708616,-0.269912172029451,0.0794756854001292,-0.759844476488681,-2.06239551143185,-0.25567650955811,-1.4834470256154,-1.04893916884869,-1.43576057663255,-1.24688937783845,-0.783382651070008
"STARD13",-0.746131926075115,0.284345719231477,-0.429627521864702,0.644471541706996,-0.874836828266936,-0.656766577849884,0.117420751324301,-0.869698709950357,-0.800156147320255,-0.356157243024054,-0.635937203561766,-0.186689064015345,-0.46969200983687,-0.604515473877403,-0.781011353282802,-0.811857295220112,0.347076279041958,0.0062325126983907,0.421411725023688,0.621511336809042,-0.188412267799094,4.04826843909057,-0.0334071164098526,1.08972957318174,0.253928201407298,0.610500658839086
"STIP1",0.754852355335783,0.612802956483315,-0.258648133516037,-0.789843869004667,1.45817076817753,-0.413109668111847,0.709075190930489,1.30256076055247,0.0436213407549569,0.414192608913353,0.65814876951612,-0.0826190302958241,0.44352450224254,-0.489275536708923,2.51500859023401,0.304791117066074,0.0947769175859602,1.00145054309504,-0.626919759669856,-0.402897424368193,-0.87981298152136,-2.0392989504996,-0.933246632788315,-0.825357566690822,-1.4276750556645,-1.1442718120477
"HLA-DPA1",-0.705678877125643,0.83082727482757,0.28609624698963,-0.57690060527331,-0.936969334931291,1.27068138802729,-1.15436714187214,-0.41234839299891,-0.519813909799465,-0.495594964628989,-1.11586298629735,-0.763420532679983,-0.732886272901874,-0.481809564778956,-0.759921858800074,-0.700588098375978,-0.361043880874807,-0.670951415051584,-0.0142065943692071,2.07929156308145,-0.151612845914672,2.40768792267836,1.24127586708425,1.16211837055131,1.26692239615037,0.0090762472839955
"ARL4C",0.137861921833825,0.723665122615885,-0.728339273327391,0.37750461790791,-0.107019580701218,-0.641353056928755,-0.668978295361311,-0.197937999794333,-0.866545321147131,-0.773457031099358,-0.539994887509698,-0.572150557653102,-0.840607377673288,-0.821966589059648,-0.692639664200937,-0.868740663302714,-0.697605859970891,-0.567886540935735,1.36014224502621,1.53752506510437,1.70456107031943,-0.706162118249896,0.86123714405579,2.84967053881099,-0.233356737299753,0.972573828540757
"RYR2",-0.973187567384605,-0.999493979170411,0.519177484816181,-0.794694341981128,-1.01543160273859,0.829709588792133,-0.876003046535573,-0.595131017010475,-0.683935707706038,-0.631083071912894,-0.49164215425516,-0.742244689611797,-0.378365491653972,-0.782701258613528,1.17817899729825,-0.881110799625134,-0.995022840998837,0.299007614830285,0.730051540853989,1.03362414582359,-0.503883702862595,1.65224078574129,1.35167201426821,2.34974822967056,0.0923364533966665,1.30818441656958
"IFI44",0.808700433188999,0.307911879355201,1.90119417798608,2.12635633029954,-0.655800750605521,-0.406989008712634,1.20250496488481,-0.76802575638185,-0.0261752277580465,-0.0777007063339645,-0.967353024428317,-0.157495380404989,0.229767230772447,2.18153560297502,-0.381482267737383,0.131892094052086,0.572130065158321,0.675104222816345,-1.07490257011164,-1.19121307623305,-0.25870082244794,-1.17692534494935,-0.874427964172769,-1.20424920849335,-0.236561622913491,-0.679094269804544
"PDIA6",1.37208781919226,-0.868585246253111,-0.552428248730419,-0.897427013931798,-0.198691236039244,-0.755516015770573,0.97984132786789,0.195167616212114,2.72648390707376,0.530161739953023,0.420007410169548,-0.0810895802447429,1.10056830456249,-0.241406536850276,1.88047851596161,0.745629443974584,0.182903862163796,0.0372233732845607,-0.949377567001954,-1.13177573550185,-0.179486197199577,-1.24948195593614,-0.512685940084995,-1.00893164758207,-0.546314444606963,-0.997355954681933
