"ID","adj.P.Val","P.Value","t","B","logFC","GB_ACC","SPOT_ID","Gene.Symbol","Gene.Title"
"214470_at",0.0544824726928998,0.000115591528712874,-4.40170052936597,1.15940793543743,-1.11516738308008,"NM_002258","","KLRB1","killer cell lectin-like receptor subfamily B, member 1"
"202962_at",0.0567560104992339,0.000125605437044487,4.37247999896039,1.11486663496117,0.594735092427871,"NM_015254","","KIF13B","kinesin family member 13B"
"207668_x_at",0.0567560104992339,0.00012384854003121,4.37743635103484,1.1108252207453,1.36541951998583,"NM_005742","","PDIA6","protein disulfide isomerase family A, member 6"
"213103_at",0.049551216676068,9.21459208155562e-05,-4.48127707673411,1.10906650374073,-1.75517595691073,"AA128023","","STARD13","StAR-related lipid transfer (START) domain containing 13"
"203605_at",0.0567560104992339,0.000125096357734142,4.3739090772919,1.10037439338776,0.833738110401862,"NM_003136","","SRP54","signal recognition particle 54kDa"
"46256_at",0.0570543702501088,0.000127309248660508,-4.36773832898917,1.06099135231758,-0.644311747373992,"AA522670","","SPSB3","splA/ryanodine receptor domain and SOCS box containing 3"
"226844_at",0.0592440938875234,0.000135446030835673,-4.34592437708335,1.05277864328061,-1.01944271899966,"AI375115","","MOB3B","MOB kinase activator 3B"
"226193_x_at",0.0589947639214663,0.000132717987422778,4.35309044216613,1.0403924178016,1.17098172601085,"AV709992","","CBWD1 /// CBWD2 /// CBWD3 /// CBWD5 /// CBWD6 /// CBWD7 /// LOC101060578","COBW domain containing 1 /// COBW domain containing 2 /// COBW domain containing 3 /// COBW domain containing 5 /// COBW domain containing 6 /// COBW domain containing 7 /// putative COBW domain-containing protein 7-like"
"211048_s_at",0.0592008196046914,0.000134264318810823,4.34901087315785,1.04024170361553,1.43395167034929,"BC006344","","PDIA4","protein disulfide isomerase family A, member 4"
"214044_at",0.0489404018920497,7.96652175288966e-05,-4.53225996882362,1.03902620675559,-1.84764777128131,"BE968750","","RYR2","ryanodine receptor 2 (cardiac)"
"1554717_a_at",0.0489404018920497,7.91692657676331e-05,-4.53444581560735,1.01714593955486,-2.10953101698977,"BC008390","","PDE4D","phosphodiesterase 4D, cAMP-specific"
"210563_x_at",0.0607889915434902,0.000142313505579639,4.32849676374489,0.983889349258595,1.31814317959418,"U97075","","CFLAR","CASP8 and FADD-like apoptosis regulator"
"213687_s_at",0.0594920987191615,0.000137101132850743,-4.34164580469839,0.972580611909982,-0.645784135650853,"BE968801","","RPL35A","ribosomal protein L35a"
"204440_at",0.0604996704643359,0.000140529641499235,-4.33294259577446,0.964974570882257,-1.71919298931159,"NM_004233","","CD83","CD83 molecule"
"216570_x_at",0.061377649544487,0.000145936798185337,-4.31963333701958,0.956740092834287,-0.822168170278271,"AL096829","","RP4-595K12.1",""
"229189_s_at",0.0636563514726827,0.000153726211558352,-4.30129116411074,0.940746522181596,-0.714084383365017,"BF672306","","RP11-539L10.3",""
"1558340_at",0.0608409529039344,0.00014354792729049,-4.32545233475807,0.919226748713772,-1.1461277731797,"BC035509","","DIXDC1","DIX domain containing 1"
"1553706_at",0.0636563514726827,0.000154465071907357,-4.29959916439484,0.915674910632597,-1.99002802866549,"NM_153692","","HTRA4","HtrA serine peptidase 4"
"208195_at",0.0650224517524311,0.00016054926358625,-4.28596210513444,0.903470062607606,-0.811431910236736,"NM_003319","","TTN","titin"
"1559470_at",0.0482541372979867,7.15842530326595e-05,-4.56967852672317,0.897392325134593,-2.29134702481361,"AY063451","","D21S2088E","D21S2088E"
"229874_x_at",0.0636563514726827,0.000154847640527971,-4.29872620912317,0.888454553129495,-0.983596367389746,"BE865517","","BC070363 /// RP11-108M9.4","Homo sapiens cDNA clone IMAGE:3960708, partial cds. ///"
"1561613_at",0.0510915749455392,0.000100386953418626,-4.4512325087443,0.879104379685092,-2.00080525016776,"BC038189","","",""
"219909_at",0.0489404018920497,7.83435444819843e-05,-4.53811532589901,0.87520513899211,-1.86163532802113,"NM_024302","","MMP28","matrix metallopeptidase 28"
"212569_at",0.0650145443184862,0.000159340629879783,4.28863012313636,0.869505114090114,0.74621710887436,"AV699744","","SMCHD1","structural maintenance of chromosomes flexible hinge domain containing 1"
"228280_at",0.0683147387896546,0.000169927836769877,4.26590763495711,0.852298576873787,1.53536641102312,"AI188445","","ZC3HAV1L","zinc finger CCCH-type, antiviral 1-like"
"236608_at",0.0489404018920497,7.53800003387352e-05,4.55160817416297,0.836616341148958,2.46525995525023,"AW139678","","GPR113","G protein-coupled receptor 113"
"202763_at",0.0686699540791953,0.000172067374647458,4.26148552054773,0.818183904852172,0.920957006206814,"NM_004346","","CASP3","caspase 3, apoptosis-related cysteine peptidase"
"223103_at",0.0694957017678881,0.000177387170859146,-4.25072076958824,0.81373189519855,-0.840054445561344,"AF151810","","STARD10","StAR-related lipid transfer (START) domain containing 10"
"39650_s_at",0.0694957017678881,0.000182675162983899,-4.24033090073469,0.774973442817283,-0.833458541602869,"AB007895","","PCNXL2","pecanex-like 2 (Drosophila)"
"216050_at",0.0694957017678881,0.000184488837065121,-4.23683546947792,0.773773023835138,-1.74222288096979,"AK024584","","",""
"218052_s_at",0.0694957017678881,0.000181456301941389,4.24269921655734,0.768354364488099,0.65888704808588,"NM_020410","","ATP13A1","ATPase type 13A1"
"229952_at",0.0694957017678881,0.000187531921663794,-4.23104593254121,0.763628696400605,-1.33094562062363,"AI936724","","PLEKHG3","pleckstrin homology domain containing, family G (with RhoGef domain) member 3"
"229145_at",0.0694957017678881,0.000181155011321394,-4.24328705525723,0.759379667098488,-0.804025755697362,"AA541762","","ANAPC16","anaphase promoting complex subunit 16"
"226248_s_at",0.0694957017678881,0.000188197024775265,-4.2297928778456,0.753147674266518,-0.937907797637727,"AI565067","","KIAA1324","KIAA1324"
"205709_s_at",0.0554296156426477,0.000119628617207726,-4.38963051622522,0.752861939111039,-1.74159399149313,"NM_001263","","CDS1","CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1"
"225557_at",0.0694957017678881,0.000188692940867051,-4.22886140483746,0.731666544988216,-1.00794999872011,"AI091372","","CSRNP1","cysteine-serine-rich nuclear protein 1"
"204447_at",0.0694957017678881,0.00019314994381414,-4.22059638790334,0.731341046298762,-1.68774305485464,"NM_014731","","LZTS3","leucine zipper, putative tumor suppressor family member 3"
